GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JDialy,diary.dataaccess,DiaryDAO,218,0,10,0,63,0,10,0,5,0
JDialy,diary.dataaccess,LoginDAO,66,0,6,0,21,0,5,0,2,0
JDialy,diary.exception,DiaryException,10,5,0,0,6,2,3,1,3,1
JDialy,diary.servlet,MainServlet,145,0,12,0,46,0,9,0,3,0
JDialy,diary.bean,DeleteDiaryBean,63,0,2,0,17,0,3,0,2,0
JDialy,diary.bean,UserDiaryListBean,62,0,2,0,18,0,4,0,3,0
JDialy,diary.bean,NewDiaryBean,65,0,2,0,18,0,3,0,2,0
JDialy,diary.bean,LoginSubmitBean,72,0,2,0,24,0,4,0,3,0
JDialy,diary.bean,AddAcountBean,3,0,0,0,1,0,1,0,1,0
JDialy,diary.vo,CheckListVO,30,0,0,0,9,0,4,0,4,0
JDialy,diary.vo,AccountVO,21,85,2,6,10,17,7,11,5,9
JDialy,diary.vo,DiaryVO,61,113,3,7,25,20,14,11,11,9
JDialy,diary.filter,EncodingFilter,25,0,0,0,9,0,4,0,4,0
JDialy,diary.filter,HaveSessionFilter,106,0,10,0,31,0,9,0,4,0
JDialy,diary.util,CalendarUtil,8,26,1,1,2,9,2,1,1,1
JDialy,diary.util,ConnectionManagerUtil,115,0,0,0,39,0,6,0,6,0
